GO.Term.Accession,HGNC.symbol
GO:0006810,SLC25A26
GO:0005739,SLC25A26
GO:0005634,SLC25A26
GO:0016021,SLC25A26
,SLC25A26
,BTC
GO:0048011,BTC
GO:0007173,BTC
GO:0008543,BTC
GO:0048015,BTC
GO:0008284,BTC
GO:0051781,BTC
GO:0005615,BTC
GO:0043066,BTC
GO:0008083,BTC
GO:0005154,BTC
GO:0045087,BTC
GO:0038095,BTC
GO:0005576,BTC
GO:0005515,BTC
GO:0005886,BTC
GO:0016021,BTC
GO:0005179,GAST
GO:0007165,GAST
GO:0007186,GAST
GO:0005576,GAST
GO:0005515,GAST
,HAP1
GO:0047496,HAP1
GO:0016023,HAP1
GO:0008104,HAP1
GO:0007268,HAP1
GO:0015629,HAP1
GO:0005856,HAP1
GO:0007420,HAP1
GO:0005515,HAP1
GO:0005488,JUP
GO:0086069,JUP
GO:0071665,JUP
GO:0071603,JUP
GO:0005199,JUP
GO:0003136,JUP
GO:0071681,JUP
GO:0003308,JUP
GO:0034329,JUP
GO:0016342,JUP
GO:0016331,JUP
GO:0032993,JUP
GO:0034332,JUP
GO:0086005,JUP
GO:0005915,JUP
GO:0045216,JUP
GO:0043588,JUP
GO:0030057,JUP
GO:0016327,JUP
GO:0002159,JUP
GO:0042307,JUP
GO:0007016,JUP
GO:0019903,JUP
GO:0007369,JUP
GO:0051291,JUP
GO:0048599,JUP
GO:0045294,JUP
GO:0030018,JUP
GO:0007398,JUP
GO:0005916,JUP
GO:0050982,JUP
GO:0005911,JUP
GO:0016477,JUP
GO:0003181,JUP
GO:0051091,JUP
GO:0003713,JUP
GO:0009898,JUP
GO:0005913,JUP
GO:0090263,JUP
GO:0016328,JUP
GO:0007399,JUP
GO:0000902,JUP
GO:0045296,JUP
GO:0016337,JUP
GO:0015629,JUP
GO:0042127,JUP
GO:0019901,JUP
GO:0016323,JUP
GO:0086091,JUP
GO:0014704,JUP
GO:0005856,JUP
GO:0005882,JUP
GO:0005829,JUP
GO:0005198,JUP
GO:0005737,JUP
GO:0042803,JUP
GO:0005515,JUP
GO:0005886,JUP
GO:0005634,JUP
GO:0000794,
GO:0000795,
GO:0005730,
GO:0007130,
,
GO:0003755,FKBP10
GO:0006457,FKBP10
GO:0005509,FKBP10
GO:0018208,FKBP10
GO:0000413,FKBP10
GO:0005528,FKBP10
GO:0005788,FKBP10
GO:0016020,FKBP10
GO:0005515,IGHV1OR15-9
GO:0005515,IGHV3OR15-7
,IGHD5OR15-5A
,IGHD4OR15-4A
,IGHD3OR15-3A
,IGHD2OR15-2A
,IGHD1OR15-1A
,NT5C3B
GO:0008253,NT5C3B
GO:0000287,NT5C3B
GO:0005737,NT5C3B
,GOLGA6L6
GO:0009117,NT5C3B
GO:0005515,NT5C3B
GO:0000166,NT5C3B
GO:0005515,IGHV1OR21-1
GO:0005576,IGHV1OR21-1
GO:0005515,KLHL10
GO:0048873,KLHL10
GO:0007286,KLHL10
GO:0000902,KLHL10
GO:0008584,KLHL10
GO:0048808,KLHL10
GO:0009566,KLHL10
GO:0016567,KLHL10
GO:0005737,KLHL10
GO:0005515,POTEB2
GO:0005515,KLHL11
,IGHD5OR15-5B
,IGHD4OR15-4B
,IGHD3OR15-3B
,IGHD2OR15-2B
,SECISBP2L
,IGHD1OR15-1B
GO:0005515,POTEB
GO:0031325,ACLY
GO:0006112,ACLY
GO:0046912,ACLY
GO:0015936,ACLY
GO:0006101,ACLY
GO:0048037,ACLY
GO:0004775,ACLY
GO:0003878,ACLY
GO:0009346,ACLY
GO:0008610,ACLY
GO:0044262,ACLY
GO:0008152,ACLY
GO:0006200,ACLY
GO:0003824,ACLY
GO:0044281,ACLY
GO:0044255,ACLY
GO:0035338,ACLY
GO:0019432,ACLY
GO:0005829,ACLY
GO:0046872,ACLY
GO:0005739,ACLY
GO:0005737,ACLY
GO:0005524,ACLY
GO:0005515,ACLY
GO:0005886,ACLY
GO:0005634,ACLY
GO:0016311,TPTE
GO:0035335,TPTE
GO:0006470,TPTE
GO:0016791,TPTE
GO:0007165,TPTE
GO:0008138,TPTE
GO:0004725,TPTE
GO:0006811,TPTE
GO:0016020,TPTE
GO:0055085,TPTE
GO:0005515,TPTE
GO:0005216,TPTE
GO:0016021,TPTE
GO:0005515,TTC25
,TPTE
GO:0005737,TTC25
,TTC25
GO:0005515,POTED
GO:0005886,POTED
GO:0046902,CNP
GO:0035749,CNP
GO:0030900,CNP
GO:0030551,CNP
GO:0009214,CNP
GO:0008344,CNP
GO:0005902,CNP
GO:0004113,CNP
GO:0031143,CNP
GO:0000226,CNP
GO:0035748,CNP
GO:0007268,CNP
GO:0009636,CNP
GO:0042470,CNP
GO:0032496,CNP
GO:0007568,CNP
GO:0016301,CNP
GO:0005743,CNP
GO:0005741,CNP
GO:0005874,CNP
GO:0003824,CNP
GO:0007409,CNP
GO:0005615,CNP
GO:0048471,CNP
GO:0016020,CNP
GO:0005737,CNP
GO:0005524,CNP
GO:0005886,CNP
GO:0003723,CNP
,CNP
GO:0005515,LDLRAD4
GO:0008150,LDLRAD4
GO:0003674,LDLRAD4
GO:0005886,LDLRAD4
GO:0016021,LDLRAD4
GO:0070389,DNAJC7
GO:0031072,DNAJC7
GO:0006457,DNAJC7
GO:0005856,DNAJC7
GO:0005737,DNAJC7
GO:0005515,DNAJC7
GO:0005634,DNAJC7
,LDLRAD4
GO:0004620,LIPI
GO:0016042,LIPI
GO:0008201,LIPI
GO:0005615,LIPI
GO:0016020,LIPI
GO:0005576,LIPI
GO:0005886,LIPI
,LIPI
GO:0004984,OR4M2
GO:0004930,OR4M2
GO:0007186,OR4M2
GO:0005886,OR4M2
GO:0016021,OR4M2
GO:0006184,NKIRAS2
GO:0007249,NKIRAS2
GO:0007165,NKIRAS2
GO:0015031,NKIRAS2
GO:0003924,NKIRAS2
GO:0005622,NKIRAS2
GO:0005525,NKIRAS2
GO:0007264,NKIRAS2
GO:0016020,NKIRAS2
GO:0005737,NKIRAS2
GO:0005575,NKIRAS2
GO:0004984,OR4N4
GO:0004930,OR4N4
GO:0007186,OR4N4
GO:0005886,OR4N4
GO:0016021,OR4N4
GO:0016607,RBM11
GO:0008380,RBM11
GO:0006397,RBM11
GO:0007275,RBM11
GO:0030154,RBM11
GO:0003676,RBM11
GO:0003723,RBM11
GO:0000166,RBM11
GO:0005515,IGHV1OR15-1
GO:0005576,IGHV4OR15-8
GO:0005515,IGHV4OR15-8
GO:0003676,ZNF385C
GO:0008270,ZNF385C
GO:0000902,HSPA13
