Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
snoZ6,21,44439035,44439110
PVT1_3,8,127890626,127890720
U6,2,47781379,47781465
RN7SL836P,19,45651510,45651805
RNU2-44P,4,154790291,154790484
MIR6832,6,31633787,31633858
Y_RNA,CHR_HSCHR6_MHC_QBL_CTG1,31392186,31392284
MIR4659B,8,6745168,6745240
Six3os1_1,2,44932320,44932406
TP53TG1_1,7,87345082,87345233
U6,CHR_HSCHR6_MHC_COX_CTG1,31360589,31360695
5_8S_rRNA,20,29297095,29297246
U1,1,146376807,146376970
Vault,17,35097560,35097657
RNU6-673P,10,76260800,76260903
RN7SL221P,6,5918564,5918844
RNU6-2,19,1021522,1021628
MIR1202,6,155946797,155946879
MIR302C,4,112648363,112648430
RNA5SP236,7,106781600,106781715
MIR4435-1,2,87629755,87629834
KCNQ1OT1_3,11,2674625,2674740
MIR4633,5,129097688,129097766
RNU6-1179P,19,22555261,22555367
MIR2054,4,125507259,125507307
Y_RNA,3,122025195,122025304
MIR6806,19,58334688,58334751
Y_RNA,14,88840165,88840263
MIR6089,X,2609191,2609254
RN7SL229P,3,180736405,180736703
MIR4277,5,1708785,1708868
SCARNA20,17,28018770,28018907
Metazoa_SRP,19,41442102,41442392
RNU2-64P,3,73110992,73111182
RNA5SP508,X,76655009,76655127
MIR1281,22,41092513,41092566
U6,CHR_HSCHR17_7_CTG4,38556066,38556187
MIR1283-1,19,53688481,53688567
RNU1-7P,1,8206434,8206597
RNU2-13P,2,11561194,11561306
MIR7151,10,67403351,67403410
Y_RNA,1,32639951,32640052
RNA5SP94,2,59694762,59694869
MIR4293,10,14383200,14383277
RNU7-67P,8,101307367,101307428
RNU6-572P,5,139221758,139221837
TARM1,CHR_HSCHR19LRC_PGF1_CTG3_1,54069947,54081380
U8,18,58818883,58819016
RNU5E-6P,1,44819883,44819997
MIR3137,3,195134506,195134580
TUG1_2,22,30971296,30971382
MIR548AE1,2,184378975,184379044
SNORA30,16,30710537,30710665
RNA5SP37,13,97362972,97363101
MIR4273,3,75738280,75738363
RNA5SP107,2,154590407,154590528
Y_RNA,X,94178005,94178106
MIR154,14,101059755,101059838
Y_RNA,12,93460725,93460826
Y_RNA,4,2615124,2615224
RNU6-519P,8,47979414,47979521
RNU6-10P,7,92701708,92701814
SNORD92,2,28913664,28913748
RN7SKP178,2,205900630,205900958
SNORD46,7,132753023,132753126
RN7SL123P,9,6661651,6661942
MIR3917,1,25906362,25906454
MIR1183,7,21471058,21471146
RNU5B-4P,5,139447907,139448017
TFPT,CHR_HSCHR19LRC_PGF1_CTG3_1,54107066,54115801
MIR5696,2,101309450,101309534
MIR3175,15,92904399,92904475
SCARNA11,12,8597509,8597640
Y_RNA,1,248045788,248045889
MIR3913-2,12,69584723,69584822
DLG2-AS1_1,11,84887207,84887419
RN7SKP293,6,12406486,12406781
JPX_1,X,73944332,73944466
RNU5A-6P,18,24124170,24124285
SNORD32B,CHR_HSCHR6_MHC_APD_CTG1,29582350,29582433
Xist_exon1,X,73850487,73850571
uc_338,14,93637179,93637338
RNA5SP109,2,162496936,162497051
5S_rRNA,CHR_HSCHR17_7_CTG4,38532589,38532707
SNORA1,8,55902723,55902855
SNORA43,3,3102913,3103015
SCARNA21,1,15542165,15542304
TCEAL9,X,103356452,103358451
RN7SL741P,13,25944478,25944766
Y_RNA,20,16670641,16670742
RNU6-107P,2,232782665,232782766
RN7SL659P,9,107811616,107811914
Y_RNA,CHR_HSCHR17_1_CTG5,45881211,45881312
SNORD30,X,114017033,114017102
RNU4-91P,3,175609479,175609613
RN7SL278P,15,76976915,76977210
MIR8052,11,130666735,130666803
SNORA38,CHR_HSCHR6_MHC_SSTO_CTG1,31613823,31613954
snoMe28S-Am2634,16,7431217,7431296
SNORA16B,1,212352816,212352950
RN7SL107P,8,80613544,80613826
RNU6-657P,10,94155639,94155745
RNU6-737P,18,57284602,57284708
uc_338,7,87184849,87185020
RNU7-28P,11,9843815,9843876
uc_338,5,131440031,131440196
Y_RNA,1,8328067,8328179
RNU4-63P,2,41871271,41871388
MIR8089,5,181043403,181043484
RN7SKP117,CHR_HSCHR5_4_CTG1_1,125350868,125351131
MIR5739,22,28459869,28459948
SNORA40,8,133644598,133644725
MIR519B,19,53695213,53695293
RN7SL160P,2,70965584,70965867
MIRLET7E,19,51692786,51692864
MIR6838,7,44073378,44073433
Y_RNA,21,7092616,7092716
MIR6073,11,15969533,15969621
MIR6727,1,1312502,1312566
SNORD45A,1,75787889,75787972
SNORD116,13,39857135,39857227
snoU13,7,29912528,29912632
RNA5SP279,9,1333837,1333953
RNU4-58P,16,59540126,59540266
U6,CHR_HSCHR6_MHC_QBL_CTG1,31360234,31360340
SNORA41,15,45537250,45537377
Y_RNA,5,23994502,23994603
RN7SL584P,15,20095733,20096029
Y_RNA,6,89841329,89841424
MIR548A3,8,104484369,104484465
SNORD38,3,53333060,53333128
MIR1305,4,182169293,182169378
RNU6-796P,15,84939617,84939723
snoU2_19,7,63175940,63176019
MIR296,20,58817615,58817694
RNA5SP126,3,25352284,25352392
RNU6-435P,18,24218300,24218404
MIR515-2,19,53685009,53685091
RNA5SP395,15,50463381,50463498
Y_RNA,16,16314112,16314211
RN7SL778P,11,130310180,130310476
Y_RNA,10,13511206,13511313
RNY3P1,5,79170234,79170335
RNY4P13,17,30059052,30059147
TSEN34,CHR_HSCHR19LRC_LRC_S_CTG3_1,54190866,54195141
U3,1,90657750,90657964
RNU2-60P,11,111383092,111383219
RNU6-1140P,2,237563165,237563270
RNU1-29P,7,120005976,120006101
SNORD60,16,2155023,2155105
SNORA44,1,151527831,151527938
U6,2,88367793,88367862
SNORA84,9,92292461,92292593
Y_RNA,12,7784403,7784511
RN7SL152P,4,140577925,140578222
Y_RNA,1,147420199,147420300
SNORD113-3,14,100929919,100929990
Y_RNA,7,14010669,14010763
RNU6-748P,8,98462944,98463050
Metazoa_SRP,2,10691538,10691831
RNU6-860P,3,198196746,198196849
RNA5SP330,11,8845263,8845358
RNA5SP438,17,34120056,34120167
RN7SL57P,9,112242550,112242839
RNU6-304P,1,8883427,8883533
MIR4325,20,57321502,57321591
MIR1343,11,34941837,34941920
SNORA48,15,64342539,64342698
SNORA9,X,100822620,100822752
U3,2,114005440,114005655
RNU6-362P,17,75031097,75031186
U3,6,75398860,75399067
RNA5SP478,20,23160857,23160971
MIR4524B,17,69099542,69099656
SNORD113-1,14,100924824,100924892
MIR6783,17,44934618,44934681
AL662852.1,CHR_HSCHR6_MHC_COX_CTG1,29060593,29073129
U3,18,56957270,56957469
MIR92B,1,155195177,155195272
SNORA48,7,102194076,102194164
MIR1180,17,19344506,19344574
RNU6-1301P,3,37140327,37140430
RN7SL75P,9,100102559,100102839
NEAT1_1,11,65423273,65423392
Y_RNA,18,50959267,50959379
MIR512-1,19,53666679,53666762
SNORA108,18,58600631,58600698
RNU6ATAC5P,4,73026748,73026873
MIR500B,X,50010672,50010750
MIR548H3,17,13543529,13543646
MIR4679-1,10,89063336,89063410
MIR4775,2,207754807,207754881
RNU1-33P,6,145463238,145463399
RN7SL377P,7,72822894,72823171
RNU6-1090P,10,116538183,116538276
MIR611,11,61792495,61792561
RN7SKP198,7,102857450,102857755
SNORA70,12,75689152,75689304
U2,17,43241180,43241370
RNU1-79P,CHR_HSCHR6_MHC_COX_CTG1,32441551,32441699
RNU1-107P,Y,25723342,25723495
Metazoa_SRP,5,7239781,7240018
Y_RNA,15,65502741,65502836
MIR4420,1,30739156,30739232
MIR30B,8,134800520,134800607
RNU6-299P,5,56125671,56125770
MIR4712,15,50360329,50360410
AC012314.5,CHR_HSCHR19LRC_COX2_CTG3_1,54102906,54107026
MIR3118-4,15,21843750,21843824
Metazoa_SRP,CHR_HSCHR15_4_CTG8,28845055,28845291
RNU6-1229P,7,65023204,65023310
RNA5SP259,8,28530411,28530519
WT1-AS_8,11,32440109,32440383
