Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
mt-Tp,MT,15356,15422
mt-Tt,MT,15289,15355
mt-Cytb,MT,14145,15288
mt-Te,MT,14071,14139
mt-Nd6,MT,13552,14070
mt-Nd5,MT,11742,13565
mt-Tl2,MT,11671,11741
mt-Ts2,MT,11613,11671
mt-Th,MT,11546,11612
mt-Nd4,MT,10167,11544
mt-Nd4l,MT,9877,10173
mt-Tr,MT,9808,9875
mt-Nd3,MT,9459,9806
mt-Tg,MT,9391,9458
mt-Co3,MT,8607,9390
mt-Atp6,MT,7927,8607
mt-Atp8,MT,7766,7969
mt-Tk,MT,7700,7764
mt-Co2,MT,7013,7696
mt-Td,MT,6942,7011
mt-Ts1,MT,6870,6938
mt-Co1,MT,5328,6872
mt-Ty,MT,5260,5326
mt-Tc,MT,5192,5257
mt-Tn,MT,5089,5159
mt-Ta,MT,5018,5086
mt-Tw,MT,4950,5016
mt-Nd2,MT,3914,4951
mt-Tm,MT,3845,3913
mt-Tq,MT,3772,3842
mt-Ti,MT,3706,3774
mt-Nd1,MT,2751,3707
mt-Tl1,MT,2676,2750
mt-Rnr2,MT,1094,2675
mt-Tv,MT,1025,1093
mt-Rnr1,MT,70,1024
mt-Tf,MT,1,68
Mir6971,17,34841809,34841871
Gm23986,8,50563241,50563303
Rbp3,14,33954022,33964216
Gm17720,8,110082803,110102753
Mir466b-4,2,10486423,10486512
Gm5518,19,29160118,29160765
Timm21,18,84947294,84951524
Gm22266,X,104070189,104070326
Gm25614,14,58650268,58650400
Nlrc4,17,74426295,74459108
Gm23817,12,80622830,80622933
Gm25091,5,146834834,146834904
Ctsw,19,5465240,5468498
Lrtm1,14,29018208,29033642
Haus1,18,77757567,77767780
Ppp1r12a,10,108162400,108277575
Gm22054,5,23836167,23836321
Gm2964,X,33955044,33956540
Zfp219,14,52006077,52020733
Gm44313,11,58954983,58955120
Gm24172,10,69132882,69132998
Gm25230,7,59531515,59531593
Gm6091,8,126476248,126476412
Abra,15,41865293,41869720
Rtn3,19,7425901,7483289
Nrl,14,55518978,55524981
Gm25373,6,145464189,145464303
Mir701,5,111004144,111004252
Crim1,17,78200248,78376592
