HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
SLC25A26	HG991_PATCH	66119285	66465398
	13	23551994	23552136
HMGA1P6	13	23708313	23708703
RNY3P4	13	23726725	23726825
LINC00362	13	23743974	23744736
RNU6-58P	13	23791571	23791673
TATDN2P3	13	23817659	23821323
LINC00363	13	93708910	93710179
SDAD1P4	13	23841645	23843289
RPLP1P13	13	23947562	23948200
	13	94021100	94021213
SACS-AS1	13	23993110	24002818
HNRNPA1P29	13	94047230	94048108
GPC6-AS2	13	94470677	94488397
RNA5SP35	13	94677724	94677852
LINC00327	13	24040710	24061603
GPC6-AS1	13	94806447	94840245
LINC00352	13	24072935	24077013
	13	95117554	95117644
RNA5SP36	13	95303651	95303783
MTCO3P2	13	24340073	24340243
RN7SL585P	13	95351479	95351756
LINC00391	13	95351948	95355116
SOX21-AS1	13	95364970	95368500
C1QTNF9B-AS1	13	24463028	24471402
BRD7P5	13	95409705	95411526
RPL21P112	13	95412807	95413269
LINC00557	13	95612295	95613573
RNU6-62P	13	95671489	95671590
	13	95862598	95862702
RNY3P8	13	95963084	95963209
ANKRD20A19P	13	24513696	24520921
RNY4P27	13	95988360	95988455
MEMO1P5	13	96046303	96046708
CLDN10-AS1	13	96131698	96186164
	13	24553949	24609166
DNAJC3-AS1	13	96300987	96329179
IPO7P2	13	24696204	24697953
MTND5P2	13	96344792	96346226
MIR2276	13	24736555	24736643
SPATA13-AS1	13	24826887	24828577
MTND6P18	13	96346237	96346749
C1QTNF9-AS1	13	24889863	24895736
MTCYBP3	13	96346823	96347959
NUS1P3	13	24902349	24903210
	13	96366931	96367032
LINC00566	13	24905588	24911259
HMGN1P24	13	96461564	96461861
CYCSP33	13	24974841	24975167
RN7SL164P	13	96821799	96822099
AMMECR1LP1	13	97225913	97226753
TPTE2P6	13	24982295	25171814
HSP90AB6P	13	97536096	97542067
LINC00359	13	97593535	97636426
	13	25129366	25129451
PSPC1P2	13	25140981	25144866
TULP3P1	13	97599891	97601181
	13	25141011	25171814
	13	97600272	97601838
	13	25183217	25183313
RN7SKP7	13	97601503	97601787
RNY1P7	13	25277694	25277803
	13	97618195	97618268
RPL26P34	13	25278476	25278926
	13	97709633	97709734
LINC00456	13	97824723	97831876
IRX1P1	13	25316815	25320322
RNA5SP37	13	98015226	98015355
PSMA6P4	13	98127996	98128713
ANKRD20A10P	13	25324795	25326309
	13	98327265	98330217
	13	98538063	98538166
RPL7AP61	13	98553907	98554542
	13	98591610	98605793
TPTE2P1	13	25498815	25542625
FTLP8	13	98639204	98639470
RN7SKP8	13	98856089	98856446
MIR3170	13	98860778	98860854
	13	98885904	98886954
	13	98981909	98985490
SLC25A15P3	13	25517713	25518636
FARP1-AS1	13	99087659	99088094
	13	99205497	99206034
RPL34P27	13	25562715	25563063
STK24-AS1	13	99229498	99231084
	13	25715794	25716046
NUS1P4	13	99262546	99263130
AMER2-AS1	13	25746966	25754217
CYCSP35	13	99281940	99282243
LINC01053	13	25755579	25763898
CALM2P4	13	99293068	99293493
LINC01076	13	25767245	25784433
RN7SL60P	13	99324234	99324529
RPL23AP69	13	25780187	25780644
DOCK9-AS1	13	99484338	99486883
BTC	HG706_PATCH	75610476	75660403
	13	25820669	25820753
	13	25874262	25875576
RPL7L1P12	13	99601973	99602701
TCEB2P1	13	25939937	25940293
RN7SL289P	13	26027137	26027428
	HG706_PATCH	75418301	75455198
RNU6-83P	13	99677488	99677599
RNU6-78P	13	26091257	26091363
DOCK9-AS2	13	99740073	99740879
	13	26437388	26437805
RPS6P23	13	99825847	99826744
RN7SL741P	13	26518632	26518891
GAST	HG185_PATCH	39868578	39872221
RNY1P3	13	26524842	26524959
LINC00415	13	26626414	26627523
GAPDHP22	13	99842833	99843245
UBAC2-AS1	13	99848631	99852964
ATP8A2P3	13	26688547	26728313
RN7SKP9	13	99857962	99858260
H2AFZP3	13	99867626	99868012
MIR623	13	100008385	100008482
PRUNEP1	13	26691686	26693102
HMGB3P4	13	100024427	100024940
	13	26803469	26803781
CCR12P	13	100060035	100061316
PRKRIRP6	13	26808350	26811266
	13	100105650	100105723
LINC00449	13	100151981	100153306
RPS3AP44	13	27151023	27151812
RNY3P6	13	100188573	100188650
LINC01039	13	100229366	100232622
WASF3-AS1	13	27180681	27215501
CFL1P8	13	100234960	100235434
FGFR1OP2P1	13	27479499	27479998
RPS21P8	13	27551680	27551926
MIR4306	13	100295313	100295403
RPS20P32	13	27591688	27592046
CLYBL-AS2	13	100342335	100343225
USP12-AS1	13	27736992	27743272
CLYBL-AS1	13	100378501	100379745
USP12-AS2	13	27746396	27757135
LINC00412	13	27810419	27810948
	13	100436111	100436237
	13	100436308	100436411
SNORD102	13	27829201	27829272
LINC00554	13	100647153	100650163
SNORA27	13	27829538	27829663
	13	27894150	27894296
NDUFA12P1	13	100680023	100680428
RNU6-70P	13	27917785	27917883
LINC01079	13	27947485	27948503
ASNSP3	13	100714550	100715855
RNY1P1	13	27976613	27976724
	13	28008286	28008752
RNU6-63P	13	28062275	28062369
RPL15P18	13	100802735	100803346
NPM1P4	13	28270530	28271341
HAP1	HG185_PATCH	39873994	39890896
	13	100850441	100850723
RNU6-73P	13	28402900	28403006
PCCA-AS1	13	101116694	101133411
PDX1-AS1	13	28407581	28495541
LINC00543	13	28527663	28529507
RN7SL272P	13	28563435	28563721
	13	101187995	101232371
KATNBL1P1	13	28641724	28642471
CHCHD2P8	13	28681568	28682014
RPS26P47	13	101192089	101192528
PAN3-AS1	13	28710980	28712330
COX5BP6	13	101276129	101276683
EEF1A1P3	13	28788650	28790034
RNU6-82P	13	28806638	28806744
NALCN-AS1	13	101360579	101711638
EIF4A1P7	13	29172970	29174189
RNU6-53P	13	29277839	29277944
ARF4P3	13	101408805	101409313
CYP51A1P2	13	29296523	29298158
LINC00411	13	101593116	101596618
POM121L13P	13	29352695	29353074
	13	102369198	102369728
	13	29796699	29796778
RNU1-24P	13	102431234	102431398
MTUS2-AS2	13	29813516	29824691
HMGB3P7	13	102454228	102454838
MIR2681	13	102619992	102620096
